_id,overall_stats.avg_battle_values.avg_dmg
1000000026,36112
1000000048,16116
1000000092,27237
1000000156,27950
1000000270,19439
1000000347,26291
1000000415,23243
1000000557,33324
1000000559,64457
1000000571,23444
1000000612,37655
1000000822,32947
1000000845,24426
1000000849,34556
1000001606,20529
1000001656,26891
1000001782,35071
1000001859,38862
1000001979,54614
1000001985,38542
1000002071,38288
1000002116,39616
1000002119,50012
1000002174,62081
1000002221,37501
1000002239,35929
1000002267,60243
1000002281,46796
1000002514,38681
1000002566,34488
1000002601,40528
1000002705,33426
1000002769,54592
1000002784,49596
1000002825,41186
1000002884,45025
1000002886,34046
1000002892,19016
1000002896,52039
1000002909,41166
1000002913,37312
1000002917,46665
1000002922,27974
1000002931,53379
1000002946,48553
1000002963,27429
1000003000,27054
1000003101,35238
1000003243,24990
1000003281,25881
1000003328,58715
1000003345,39559
1000003364,37776
1000003401,30863
1000003408,45816
1000003436,44492
1000003463,33028
1000003469,38888
1000003489,45899
1000003495,33640
1000003683,38535
1000003866,31442
1000004047,23015
1000004051,26256
1000004155,59134
1000004236,49271
1000004265,50585
1000004278,43681
1000004339,45740
1000004359,31213
1000004541,17605
1000004558,47014
1000004600,61787
1000004624,54925
1000004707,50591
1000004711,16867
1000004771,36058
1000004778,44928
1000004843,41803
1000005290,18834
1000005557,21295
1000005576,35264
1000005581,56072
1000005868,37982
1000005879,39230
1000006076,71266
1000006338,21840
1000006451,23432
1000006468,36009
1000006520,35724
1000006671,48163
1000006836,29334
1000006858,33308
1000006887,51145
1000006902,74032
1000006955,30741
1000007082,33891
1000007089,59397
1000007531,33445
1000007546,56955
1000007684,31638
1000007843,31342
1000007956,50084
1000007991,40373
1000008197,47530
1000008287,53855
1000008299,18772
1000008356,34781
1000008639,26330
1000008688,24811
1000008794,47984
1000008809,71582
1000008895,22792
1000008922,35804
1000008998,64509
1000009029,46543
1000009039,20010
1000009094,33072
1000009097,25164
1000009131,29926
1000009194,71808
1000009250,25911
1000009256,32956
1000009259,30083
1000009290,51778
1000009293,36140
1000009331,56504
1000009366,55747
1000009460,53537
1000009497,39212
1000009528,40123
1000009735,40279
1000009785,55616
1000009801,30044
1000010303,49152
1000010322,34626
1000010375,39956
1000010461,20219
1000010544,60054
1000010581,24981
1000010607,26398
1000010645,27500
1000010767,36344
1000010790,36510
1000010892,35179
1000011053,38572
1000011180,54997
1000011287,42672
1000011368,31217
1000011412,39637
1000011545,41748
1000011584,43368
1000011615,23945
1000011634,52029
1000011664,26306
1000011674,30709
1000011681,34763
1000011708,29464
1000011734,26686
1000011747,44739
1000011771,32033
1000011777,44462
1000011935,48676
1000011949,46631
1000011990,44492
1000012027,38679
1000012033,57532
1000012076,26931
1000012085,33622
1000012111,64338
1000012159,44206
1000012160,33223
1000012189,24119
1000012214,31483
1000012353,49974
1000012660,42992
1000012860,33152
1000012904,40507
1000013030,41829
1000013064,55555
1000013065,58096
1000013107,30334
1000013358,66198
1000013515,37731
1000013609,35674
1000013615,57246
1000013618,28814
1000013703,33145
1000013812,50954
1000013857,39038
1000013861,53972
1000013923,27156
1000013949,32240
1000013991,32291
1000014051,29449
1000014100,59127
1000014214,40855
1000014547,43815
1000014660,25103
1000014789,25450
1000015034,25078
1000015063,44353
1000015090,47098
1000015100,24867
1000015107,26712
1000015116,51238
1000015143,39470
1000015185,64792
1000015196,36412
1000015224,54203
1000015232,64624
1000015241,45710
1000015338,55353
1000015375,51233
1000015443,44682
1000015682,47095
1000015847,31051
1000015920,44167
1000015932,73211
1000015966,33525
1000016057,40097
1000016181,49238
1000016211,49110
1000016289,67712
1000016365,52571
1000016469,55861
1000016502,46745
1000016589,29988
1000016590,37676
1000016606,61209
1000016632,20795
1000016655,39170
1000016709,38380
1000016715,49637
1000016743,53045
1000016850,62230
1000016999,71398
1000017066,32045
1000017078,51169
1000017117,50078
1000017138,34495
1000017174,41203
1000017196,46601
1000017321,25459
1000017340,35836
1000017351,30616
1000017391,39913
1000017433,48675
1000017461,42511
1000017474,45327
1000017493,24813
1000017565,30785
1000017659,31399
1000017812,35200
1000018109,57469
1000018239,44062
1000018262,46483
1000018355,37924
1000018584,68577
1000018878,29964
1000019001,31324
1000019232,36168
1000019495,24251
1000019500,17902
1000019584,29669
1000019884,36460
1000019945,39913
1000019971,36009
1000019996,28893
1000020000,37106
1000020024,31897
1000020052,50727
1000020062,30809
1000020073,28540
1000020088,26426
1000020141,37150
1000020182,52792
1000020189,47322
1000020266,52327
1000020325,30519
1000020371,53387
1000020390,59849
1000020410,32209
1000020936,50183
1000021104,13669
1000021105,41818
1000021197,38920
1000021317,10901
1000021422,44139
1000021430,62642
1000021522,40386
1000021542,46029
1000021579,65467
1000021621,47145
1000021654,44549
1000021657,32793
1000021676,38656
1000021802,43010
1000021880,52233
1000021920,24029
1000021956,81730
1000022183,33732
1000022223,53948
1000022351,53312
1000022405,33188
1000022462,53969
1000022491,30675
1000022525,16843
1000022599,44864
1000022611,39739
1000022660,51932
1000022681,33421
1000022720,49705
1000022728,67680
1000022880,35984
1000022896,25768
1000022934,20205
1000022955,22188
1000022968,49921
1000023029,32174
1000023058,39744
1000023236,45004
1000023301,22061
1000023357,23841
1000023430,52384
1000023465,14241
1000023585,38905
1000023600,39749
1000023674,41123
1000024260,48804
1000024369,25642
1000024392,36289
1000024450,40444
1000024460,35982
1000024554,37919
1000024680,59755
1000024701,29652
1000024713,44992
1000024729,30280
1000024833,48874
1000024842,49676
1000024854,44504
1000024906,37320
1000024928,54967
1000024973,76958
1000024984,22342
1000025043,99883
1000025101,25108
1000025133,30837
1000025280,44860
1000025322,35473
1000025323,58821
1000025544,32193
1000025569,75003
1000025571,47635
1000025587,36823
1000025667,28630
1000025704,43761
1000025705,48968
1000026501,44473
1000026805,30197
1000026862,37968
1000026967,29495
1000027002,24556
1000027016,56086
1000027071,29276
1000027114,49140
1000027156,24771
1000027246,49511
1000027295,32151
1000027309,55883
1000027319,28277
1000027331,33051
1000027391,26695
1000027510,15976
1000027527,55898
1000027592,36700
1000027611,42566
1000027666,82287
1000027689,40907
1000027702,66140
1000028062,27525
1000028099,29815
1000028157,43236
1000028294,16564
1000028433,66962
1000028488,26470
1000028522,37044
1000028523,37081
1000028525,70157
1000028535,39223
1000028544,40302
1000028582,60914
1000028587,39186
1000028609,27257
1000028676,37012
1000028698,41335
1000028708,23840
1000028731,36897
1000028755,55768
1000028789,40264
1000028796,49236
1000028798,54770
1000028835,40322
1000028839,45628
1000028895,53900
1000028927,26548
1000028975,19970
1000028979,31524
1000028983,36884
1000029057,24422
1000029059,35120
1000029077,15326
1000029106,54110
1000029108,16705
1000029185,57842
1000029222,42644
1000029245,30904
1000029579,36728
1000029778,37804
1000029782,79910
1000029807,36865
1000029864,28319
1000029993,57378
1000030009,54891
1000030047,54476
1000030051,29104
1000030086,56413
1000030088,69815
1000030147,53733
1000030161,63782
1000030185,35416
1000030189,29874
1000030194,33248
1000030205,60737
1000030263,35589
1000030272,56639
1000030287,58564
1000030296,31506
1000030327,40764
1000030400,51296
1000030417,59777
1000030514,41261
1000030633,48823
1000030727,37519
1000030951,25544
1000031016,30619
1000031156,33906
1000031222,33222
1000031240,17962
1000031246,55235
1000031254,27789
1000031280,44258
1000031282,48842
1000031296,49701
1000031348,41310
1000031361,16349
1000031401,45459
1000031411,40751
1000031430,44770
1000031476,42027
1000031486,49179
1000031583,21040
1000031609,46353
1000031775,41176
1000031872,28371
1000032000,34391
1000032048,21036
1000032055,46394
1000032194,39977
1000032209,61012
1000032236,16969
1000032279,20062
1000032291,44452
1000032301,46402
1000032311,32451
1000032321,32678
1000032362,23065
1000032382,37210
1000032392,14516
1000032455,59586
1000032588,34302
1000032624,44849
1000032831,49432
1000033083,27120
1000033096,35846
1000033133,70557
1000033141,24101
1000033146,78430
1000033157,80478
1000033162,17838
1000033181,17496
1000033196,44378
1000033254,47834
1000033538,39228
1000033608,39795
1000033612,27961
1000033899,35810
1000034086,43220
1000034148,55719
1000034233,19884
1000034308,49123
1000034312,46535
1000034376,45387
1000034384,31244
1000034389,45304
1000034410,43590
1000034482,18457
1000034672,45300
1000034685,58482
1000034855,26482
1000035070,46078
1000035155,43962
1000035188,10760
1000035194,39645
1000035286,37142
1000035319,31438
1000035488,61917
1000035489,23790
1000035528,36251
1000035529,39084
1000035603,46343
1000035637,33899
1000035666,33773
1000035667,42706
1000035809,59138
1000035874,32726
1000035889,25165
1000035957,53435
1000035961,24383
1000035963,43170
1000035995,33391
1000036024,35995
1000036041,26428
1000036118,37481
1000036130,41420
1000036131,58500
1000036326,56388
1000036492,23522
1000036757,20324
1000036768,21146
1000036815,31328
1000036926,41084
1000037006,37734
1000037054,54698
1000037073,24591
1000037135,64314
1000037141,45986
1000037187,32375
1000037207,52542
1000037213,37222
1000037231,64885
1000037232,77632
1000037242,53018
1000037275,35142
1000037560,37929
1000037720,43463
1000037747,56400
1000037778,24641
1000037895,26994
1000037976,38693
1000038077,26400
1000038498,70126
1000038591,24038
1000038689,23375
1000038714,19099
1000038776,34084
1000038781,41635
1000038783,43376
1000038841,52631
1000038951,45186
1000038961,14250
1000038969,24959
1000039139,28136
1000039147,25909
1000039279,17701
1000039310,32930
1000039379,21053
1000039675,30046
1000039897,51140
1000039908,52139
1000039956,33458
1000039961,45246
1000039990,31508
1000040004,29192
1000040020,38406
1000040053,58429
1000040065,22006
1000040111,52262
1000040113,45614
1000040319,48223
1000040339,23526
1000040437,30971
1000040519,24838
1000040572,29320
1000040604,47366
1000040630,29483
1000040638,44305
1000040640,41748
1000040728,43089
1000040780,38017
1000040807,25346
1000040850,25853
1000040901,21462
1000040947,46786
1000041051,50569
1000041056,21255
1000041180,30922
1000041190,26702
1000041214,36665
1000041278,32542
1000041283,54846
1000041302,22372
1000041319,28455
1000041337,50462
1000041357,24557
1000041526,30909
1000041576,39262
1000041766,41475
1000041849,47413
1000042087,27842
1000042130,41192
1000042229,30178
1000042508,47963
1000042543,25730
1000042556,27669
1000042642,45422
1000042658,23878
1000042675,38014
1000042721,49839
1000042751,43552
1000042763,36570
1000042798,38496
1000042808,25356
1000042815,41214
1000042823,38837
1000042888,32814
1000042987,37789
1000043307,31264
1000043648,48399
1000043706,57490
1000043760,11285
1000043843,27818
1000043900,51090
1000043938,32795
1000043943,46222
1000043956,19395
1000043986,26757
1000044173,62994
1000044385,29534
1000044433,51748
1000044532,25729
1000044566,30137
1000044633,48826
1000044638,52719
1000044785,15142
1000044933,30922
1000044975,23797
1000044977,40386
1000044979,49790
1000044984,32514
1000045048,26681
1000045592,39139
1000045754,26824
1000045760,51571
1000045940,20083
1000045958,28147
1000045970,46710
1000045978,25613
1000045983,47121
1000045994,41311
1000046013,25470
1000046036,26752
1000046210,45433
1000046213,47564
1000046304,16736
1000046432,24823
1000046587,23402
1000046606,38831
1000046625,31265
1000046818,61358
1000046852,41957
1000047007,38394
1000047037,46291
1000047150,36723
1000047163,40676
1000047210,61961
1000047246,22482
1000047289,28934
1000047301,46887
1000047359,41179
1000047366,54398
1000047407,26786
1000048222,45109
1000048377,26314
1000049135,34918
1000049230,50058
1000049334,29943
1000049385,59199
1000049386,37241
1000049414,28063
1000049456,30149
1000049542,13546
1000049545,47364
1000049548,45981
1000050008,33353
1000050158,55472
1000050468,38437
1000050549,31797
1000050605,31708
1000050820,20614
1000050909,31617
1000050916,31503
1000050923,54820
1000050942,36339
1000050992,45218
1000051005,20037
1000051059,38160
1000051082,34037
1000051095,35703
1000051488,35274
1000051495,13675
1000051618,47449
1000051720,39119
1000051728,36977
1000051757,45107
