_id,overall_stats.avg_battle_values.avg_exp
1000000026,837
1000000048,525
1000000092,1034
1000000156,882
1000000270,798
1000000347,1006
1000000415,887
1000000557,1004
1000000559,1714
1000000571,948
1000000612,1185
1000000822,1067
1000000845,700
1000000849,945
1000001606,766
1000001656,772
1000001782,1261
1000001859,1238
1000001979,1213
1000001985,1100
1000002071,1218
1000002116,1353
1000002119,1180
1000002174,1787
1000002221,1126
1000002239,939
1000002267,1644
1000002281,1107
1000002514,1239
1000002566,879
1000002601,1257
1000002705,1191
1000002769,1294
1000002784,1504
1000002825,1239
1000002884,1393
1000002886,1138
1000002892,677
1000002896,1521
1000002909,1218
1000002913,1399
1000002917,1355
1000002922,911
1000002931,1171
1000002946,1178
1000002963,960
1000003000,1033
1000003101,772
1000003243,856
1000003281,866
1000003328,1584
1000003345,1360
1000003364,1122
1000003401,1174
1000003408,1113
1000003436,1333
1000003463,1140
1000003469,1340
1000003489,1369
1000003495,992
1000003683,976
1000003866,868
1000004047,731
1000004051,1162
1000004155,1849
1000004236,1525
1000004265,1102
1000004278,1238
1000004339,1452
1000004359,1167
1000004541,750
1000004558,1425
1000004600,1440
1000004624,1463
1000004707,1449
1000004711,653
1000004771,1236
1000004778,1395
1000004843,1146
1000005290,754
1000005557,587
1000005576,909
1000005581,1179
1000005868,1126
1000005879,1387
1000006076,1826
1000006338,631
1000006451,765
1000006468,1181
1000006520,1050
1000006671,1198
1000006836,1141
1000006858,1218
1000006887,1286
1000006902,2067
1000006955,981
1000007082,751
1000007089,1532
1000007531,1021
1000007546,1657
1000007684,1079
1000007843,1220
1000007956,1430
1000007991,1314
1000008197,1161
1000008287,1536
1000008299,767
1000008356,909
1000008639,866
1000008688,1189
1000008794,1477
1000008809,1536
1000008895,992
1000008922,1035
1000008998,1818
1000009029,1446
1000009039,661
1000009094,929
1000009097,1055
1000009131,979
1000009194,1662
1000009250,917
1000009256,915
1000009259,1017
1000009290,1319
1000009293,1005
1000009331,1501
1000009366,1465
1000009460,1218
1000009497,1056
1000009528,832
1000009735,891
1000009785,1384
1000009801,923
1000010303,1417
1000010322,1000
1000010375,1086
1000010461,574
1000010544,1494
1000010581,1087
1000010607,1032
1000010645,795
1000010767,1058
1000010790,956
1000010892,1234
1000011053,939
1000011180,1596
1000011287,1249
1000011368,1213
1000011412,1104
1000011545,1306
1000011584,1032
1000011615,778
1000011634,1490
1000011664,588
1000011674,760
1000011681,916
1000011708,1054
1000011734,776
1000011747,1311
1000011771,1033
1000011777,1098
1000011935,1516
1000011949,1191
1000011990,1156
1000012027,1106
1000012033,1145
1000012076,736
1000012085,988
1000012111,1593
1000012159,1386
1000012160,1159
1000012189,676
1000012214,838
1000012353,1116
1000012660,1382
1000012860,1027
1000012904,1031
1000013030,1309
1000013064,1045
1000013065,1340
1000013107,1133
1000013358,1364
1000013515,1091
1000013609,1326
1000013615,1685
1000013618,1047
1000013703,1047
1000013812,1096
1000013857,1290
1000013861,1665
1000013923,819
1000013949,1132
1000013991,895
1000014051,981
1000014100,1500
1000014214,1113
1000014547,1339
1000014660,849
1000014789,799
1000015034,901
1000015063,1378
1000015090,1232
1000015100,925
1000015107,837
1000015116,1458
1000015143,1365
1000015185,1801
1000015196,1271
1000015224,1628
1000015232,1686
1000015241,1000
1000015338,1260
1000015375,1266
1000015443,1308
1000015682,1112
1000015847,1111
1000015920,1135
1000015932,1996
1000015966,1295
1000016057,1062
1000016181,1628
1000016211,1397
1000016289,1913
1000016365,1378
1000016469,1728
1000016502,1405
1000016589,1187
1000016590,959
1000016606,1705
1000016632,916
1000016655,1029
