_id,overall_stats.avg_battle_values.avg_frags
1000000026,1.23
1000000048,0.47
1000000092,0.91
1000000156,0.6
1000000270,0.56
1000000347,0.83
1000000415,0.87
1000000557,0.91
1000000559,1.03
1000000571,0.68
1000000612,0.8
1000000822,0.76
1000000845,0.66
1000000849,0.78
1000001606,0.51
1000001656,0.66
1000001782,0.69
1000001859,0.66
1000001979,0.99
1000001985,0.85
1000002071,0.52
1000002116,0.69
1000002119,0.75
1000002174,1.26
1000002221,0.75
1000002239,0.78
1000002267,1.23
1000002281,1.24
1000002514,0.84
1000002566,0.81
1000002601,0.84
1000002705,0.75
1000002769,1.15
1000002784,1.24
1000002825,0.78
1000002884,1.08
1000002886,0.95
1000002892,0.44
1000002896,1.05
1000002909,0.76
1000002913,0.84
1000002917,0.91
1000002922,0.61
1000002931,0.99
1000002946,0.85
1000002963,0.78
1000003000,0.64
1000003101,0.68
1000003243,0.67
1000003281,0.58
1000003328,0.84
1000003345,0.78
1000003364,0.94
1000003401,0.68
1000003408,0.72
1000003436,0.58
1000003463,0.88
1000003469,0.77
1000003489,0.68
1000003495,0.9
1000003683,0.69
1000003866,0.9
1000004047,0.66
1000004051,0.66
1000004155,1.2
1000004236,1.19
1000004265,0.96
1000004278,0.9
1000004339,0.88
1000004359,0.58
1000004541,0.41
1000004558,0.83
1000004600,0.91
1000004624,0.98
1000004707,0.91
1000004711,0.61
1000004771,0.87
1000004778,1.26
1000004843,0.93
1000005290,0.38
1000005557,0.6
1000005576,0.64
1000005581,1.03
1000005868,0.81
1000005879,0.8
1000006076,1.54
1000006338,0.43
1000006451,0.82
1000006468,0.76
1000006520,0.82
1000006671,1.12
1000006836,0.48
1000006858,0.78
1000006887,1.07
1000006902,1.54
1000006955,0.54
1000007082,0.93
1000007089,0.96
1000007531,0.72
1000007546,1.2
1000007684,0.79
1000007843,0.72
1000007956,0.9
1000007991,0.88
1000008197,0.85
1000008287,1.17
1000008299,0.77
1000008356,0.75
1000008639,0.7
1000008688,0.88
1000008794,0.67
1000008809,1.32
1000008895,0.55
1000008922,0.72
1000008998,1.09
1000009029,0.92
1000009039,0.42
1000009094,0.57
1000009097,0.72
1000009131,0.58
1000009194,1.06
1000009250,0.75
1000009256,0.8
1000009259,0.75
1000009290,1.1
1000009293,0.79
1000009331,0.93
1000009366,1.06
1000009460,1.11
1000009497,0.79
1000009528,1.02
1000009735,0.89
1000009785,0.75
1000009801,0.79
1000010303,0.87
1000010322,1.15
1000010375,0.7
1000010461,0.42
1000010544,1.11
1000010581,0.69
1000010607,0.71
1000010645,0.99
1000010767,1
1000010790,0.82
1000010892,0.85
1000011053,0.61
1000011180,0.91
1000011287,0.89
1000011368,0.66
1000011412,0.79
1000011545,0.92
1000011584,1.08
1000011615,0.47
1000011634,1.06
1000011664,0.61
1000011674,0.82
1000011681,0.95
1000011708,0.57
1000011734,0.63
1000011747,0.79
1000011771,0.63
1000011777,1.07
1000011935,0.88
1000011949,0.89
1000011990,0.82
1000012027,0.65
1000012033,1.14
1000012076,0.7
1000012085,1.09
1000012111,1.05
1000012159,0.95
1000012160,0.82
1000012189,0.53
1000012214,0.87
1000012353,1.08
1000012660,0.84
1000012860,0.8
1000012904,0.81
1000013030,1.03
1000013064,0.93
1000013065,1.07
1000013107,0.61
1000013358,1.11
1000013515,0.75
1000013609,0.71
1000013615,0.95
1000013618,0.81
1000013703,0.62
1000013812,1.26
1000013857,0.85
1000013861,1.12
1000013923,0.76
1000013949,0.89
1000013991,0.84
1000014051,0.82
1000014100,1.05
1000014214,0.81
1000014547,0.9
1000014660,0.55
1000014789,0.65
1000015034,0.58
1000015063,0.89
1000015090,0.76
1000015100,0.67
1000015107,0.55
1000015116,0.9
1000015143,0.69
1000015185,1.12
1000015196,0.9
1000015224,1.23
1000015232,1.13
1000015241,0.83
1000015338,1.32
1000015375,0.8
1000015443,0.92
1000015682,0.9
1000015847,0.5
1000015920,0.78
1000015932,1.29
1000015966,0.82
1000016057,0.82
1000016181,1.05
1000016211,0.83
1000016289,1.39
1000016365,1
1000016469,1.11
1000016502,1.05
1000016589,0.59
1000016590,0.63
1000016606,1
1000016632,0.56
1000016655,0.96
1000016709,0.9
1000016715,0.82
1000016743,0.82
1000016850,0.91
1000016999,1.06
1000017066,0.66
1000017078,0.87
1000017117,0.91
1000017138,0.82
1000017174,1.03
1000017196,1.34
1000017321,0.63
1000017340,0.77
1000017351,1.11
1000017391,0.71
1000017433,0.9
1000017461,0.78
1000017474,0.89
1000017493,0.78
1000017565,0.6
1000017659,0.51
1000017812,0.79
1000018109,0.93
1000018239,1.06
1000018262,0.94
1000018355,0.76
1000018584,1.25
1000018878,0.74
1000019001,0.73
1000019232,0.84
1000019495,0.51
1000019500,0.59
1000019584,0.9
1000019884,0.74
1000019945,0.78
1000019971,0.89
1000019996,0.85
1000020000,0.92
1000020024,0.52
1000020052,1.11
1000020062,0.62
1000020073,0.81
1000020088,0.74
1000020141,0.8
1000020182,0.86
1000020189,0.76
1000020266,1.17
1000020325,0.65
1000020371,1.11
1000020390,1.24
1000020410,0.99
1000020936,0.72
1000021104,0.3
1000021105,0.76
1000021197,0.63
1000021317,0.33
1000021422,0.64
1000021430,1.1
1000021522,0.73
1000021542,0.86
1000021579,1.14
1000021621,1.05
1000021654,1.11
1000021657,0.6
1000021676,0.77
1000021802,1.48
1000021880,1.08
1000021920,0.54
1000021956,0.89
1000022183,0.47
1000022223,1.09
1000022351,0.97
1000022405,0.66
1000022462,1.22
1000022491,0.53
1000022525,0.45
1000022599,0.87
1000022611,0.85
1000022660,1
1000022681,0.66
1000022720,1.06
1000022728,0.94
1000022880,0.71
1000022896,0.64
1000022934,0.44
1000022955,0.78
1000022968,0.99
1000023029,0.83
1000023058,1.01
1000023236,0.96
1000023301,0.58
1000023357,0.59
1000023430,0.99
1000023465,0.41
1000023585,0.89
1000023600,0.73
1000023674,0.74
1000024260,0.86
1000024369,0.64
1000024392,0.79
1000024450,0.75
1000024460,0.68
1000024554,0.87
1000024680,0.9
1000024701,0.88
1000024713,1.08
1000024729,0.75
1000024833,0.98
1000024842,0.79
1000024854,1.01
1000024906,0.97
1000024928,1.11
1000024973,1.2
1000024984,0.62
1000025043,1.31
1000025101,0.56
1000025133,0.64
1000025280,0.98
1000025322,0.84
1000025323,0.99
1000025544,0.93
1000025569,0.97
1000025571,1.03
1000025587,0.96
1000025667,0.73
1000025704,0.8
1000025705,1.07
1000026501,1.02
1000026805,0.72
1000026862,0.98
1000026967,0.56
1000027002,0.88
1000027016,1.03
1000027071,0.88
1000027114,1.16
1000027156,0.52
1000027246,0.86
1000027295,0.97
1000027309,0.96
1000027319,0.66
1000027331,0.81
1000027391,0.61
1000027510,0.39
1000027527,1.18
1000027592,0.73
1000027611,1.08
1000027666,1.17
1000027689,0.82
1000027702,1.03
1000028062,0.62
1000028099,0.57
1000028157,0.97
1000028294,0.42
1000028433,0.95
1000028488,0.49
1000028522,0.74
1000028523,0.72
1000028525,1.11
1000028535,0.88
1000028544,0.89
1000028582,0.84
1000028587,0.89
1000028609,0.52
1000028676,0.85
1000028698,0.85
1000028708,0.6
1000028731,0.74
1000028755,1.06
1000028789,0.64
1000028796,0.96
1000028798,1.11
1000028835,0.64
1000028839,0.98
1000028895,1.17
1000028927,0.54
1000028975,0.41
1000028979,0.66
1000028983,0.8
1000029057,0.68
1000029059,0.84
1000029077,0.32
1000029106,0.84
1000029108,0.45
1000029185,1
1000029222,0.69
1000029245,0.75
1000029579,0.89
1000029778,0.89
1000029782,1.26
1000029807,0.84
1000029864,1.03
1000029993,0.96
1000030009,1.25
1000030047,1.13
1000030051,0.72
1000030086,1.31
1000030088,1.32
1000030147,0.81
1000030161,1.15
1000030185,0.74
1000030189,0.58
1000030194,0.88
1000030205,1.12
1000030263,0.69
1000030272,0.88
1000030287,0.7
1000030296,0.53
1000030327,0.71
1000030400,0.88
1000030417,1.22
1000030514,0.68
1000030633,0.82
1000030727,0.67
1000030951,0.92
1000031016,0.51
1000031156,0.84
1000031222,0.63
1000031240,0.42
1000031246,1.15
1000031254,0.51
1000031280,0.82
1000031282,1.03
1000031296,0.73
1000031348,0.7
1000031361,0.42
1000031401,0.93
1000031411,1.15
1000031430,0.86
1000031476,0.87
1000031486,0.85
1000031583,0.52
1000031609,0.83
1000031775,1.42
1000031872,0.81
1000032000,0.59
1000032048,0.84
1000032055,0.86
1000032194,0.94
1000032209,1.25
1000032236,0.78
1000032279,0.61
1000032291,0.84
1000032301,0.9
1000032311,1.01
1000032321,0.52
1000032362,0.44
1000032382,0.64
1000032392,0.46
1000032455,1.18
1000032588,0.7
1000032624,0.8
1000032831,0.95
1000033083,0.63
1000033096,0.66
1000033133,1.17
1000033141,0.71
1000033146,1.48
1000033157,1.31
1000033162,0.42
1000033181,0.44
1000033196,0.78
1000033254,0.72
1000033538,0.79
1000033608,0.7
