_id,overall_stats.avg_battle_values.avg_kd
1000000026,1.89
1000000048,0.8
1000000092,1.5
1000000156,0.85
1000000270,0.77
1000000347,1.03
1000000415,1.6
1000000557,1.33
1000000559,1.48
1000000571,0.96
1000000612,1.23
1000000822,1.29
1000000845,0.91
1000000849,1.09
1000001606,0.64
1000001656,0.85
1000001782,1.11
1000001859,0.85
1000001979,1.56
1000001985,1.6
1000002071,0.61
1000002116,0.96
1000002119,1.03
1000002174,2.75
1000002221,1.1
1000002239,1.15
1000002267,2.23
1000002281,2.23
1000002514,1.49
1000002566,1.62
1000002601,1.21
1000002705,1.15
1000002769,1.99
1000002784,2.16
1000002825,1.05
1000002884,1.97
1000002886,1.39
1000002892,0.57
1000002896,1.6
1000002909,1.05
1000002913,1.28
1000002917,1.55
1000002922,0.9
1000002931,1.43
1000002946,1.28
1000002963,1.34
1000003000,0.9
1000003101,1.17
1000003243,0.86
1000003281,0.7
1000003328,1.14
1000003345,1.06
1000003364,1.9
1000003401,1
1000003408,0.91
1000003436,0.78
1000003463,1.14
1000003469,1.46
1000003489,0.97
1000003495,1.52
1000003683,0.94
1000003866,1.29
1000004047,1.02
1000004051,0.88
1000004155,2.08
1000004236,2.08
1000004265,1.94
1000004278,1.52
1000004339,1.55
1000004359,0.88
1000004541,0.5
1000004558,1.42
1000004600,1.26
1000004624,1.5
1000004707,1.4
1000004711,0.84
1000004771,1.46
1000004778,2.3
1000004843,1.37
1000005290,0.5
1000005557,0.85
1000005576,0.93
1000005581,1.99
1000005868,1.04
1000005879,1.32
1000006076,3.43
1000006338,0.51
1000006451,1.01
1000006468,1.04
1000006520,1.31
1000006671,2.25
1000006836,0.68
1000006858,1.71
1000006887,2.04
1000006902,3.16
1000006955,0.65
1000007082,1.34
1000007089,1.36
1000007531,1.3
1000007546,1.9
1000007684,1.12
1000007843,1.17
1000007956,1.28
1000007991,1.26
1000008197,1.62
1000008287,1.85
1000008299,1.12
1000008356,1.01
1000008639,0.76
1000008688,1.36
1000008794,0.83
1000008809,2.44
1000008895,0.88
1000008922,0.98
1000008998,2.18
1000009029,1.29
1000009039,0.49
1000009094,0.8
1000009097,1.14
1000009131,0.69
1000009194,1.68
1000009250,1.18
1000009256,1.29
1000009259,1.02
1000009290,1.78
1000009293,1.56
1000009331,1.59
1000009366,1.42
1000009460,1.97
1000009497,1.17
1000009528,1.54
1000009735,1.28
1000009785,1.11
1000009801,1.28
1000010303,1.45
1000010322,1.81
1000010375,0.85
1000010461,0.57
