_id,overall_stats.avg_battle_values.avg_shoot_down
1000000026,0.99
1000000048,0.37
1000000092,0.5
1000000156,1.24
1000000270,0.37
1000000347,0.44
1000000415,0.75
1000000557,1.22
1000000559,1.93
1000000571,0.64
1000000612,2.33
1000000822,2.96
1000000845,0.54
1000000849,2.07
1000001606,1.65
1000001656,1.01
1000001782,2.14
1000001859,1.47
1000001979,2.16
1000001985,1.24
1000002071,1.06
1000002116,3.16
1000002119,2.49
1000002174,2.27
1000002221,3.3
1000002239,1.85
1000002267,1.51
1000002281,1.77
1000002514,2.63
1000002566,1.25
1000002601,2.28
1000002705,0.83
1000002769,1.87
1000002784,2.02
1000002825,1.42
1000002884,2.13
1000002886,1.69
1000002892,1.65
1000002896,1.72
1000002909,1.96
1000002913,1.19
1000002917,1.97
1000002922,2.2
1000002931,0.73
1000002946,5.86
1000002963,2.31
1000003000,1.09
1000003101,2.28
1000003243,0.51
1000003281,3.82
1000003328,1.47
1000003345,0.8
1000003364,1.63
1000003401,1.34
1000003408,2.1
1000003436,1.95
1000003463,0.84
1000003469,1.46
1000003489,1.09
1000003495,0.39
1000003683,1.85
1000003866,1.18
1000004047,0.31
1000004051,1.14
1000004155,3.94
1000004236,2.29
1000004265,1.77
1000004278,2.27
1000004339,1.89
1000004359,1.44
1000004541,0.69
1000004558,1.67
1000004600,3.23
1000004624,2.23
1000004707,1.03
1000004711,0.27
1000004771,1.12
1000004778,1.1
1000004843,1.89
1000005290,0.45
1000005557,0.21
1000005576,1.88
1000005581,5.78
1000005868,2.61
1000005879,2.49
1000006076,5.59
1000006338,0.94
1000006451,0.41
1000006468,1.66
1000006520,0.85
1000006671,1.36
1000006836,1.39
1000006858,0.95
1000006887,3.91
1000006902,2.98
1000006955,1.05
1000007082,1.16
1000007089,1.7
1000007531,5.09
1000007546,3.75
1000007684,0.96
1000007843,2.42
1000007956,1.22
1000007991,1.58
1000008197,1.95
1000008287,1.81
1000008299,0.29
1000008356,1.87
1000008639,0.46
1000008688,0.87
1000008794,2.93
1000008809,2.12
1000008895,1.83
1000008922,1.48
1000008998,2.14
1000009029,1.92
1000009039,1
1000009094,1.37
1000009097,4.08
1000009131,1.48
1000009194,1.46
1000009250,1.39
1000009256,1.1
1000009259,1.24
1000009290,1.93
1000009293,3.68
1000009331,1.99
1000009366,1.99
1000009460,1.74
1000009497,1.11
1000009528,1.81
1000009735,1.34
1000009785,0.93
1000009801,2.87
1000010303,1.48
1000010322,2.53
1000010375,1.35
1000010461,2.45
1000010544,1.5
1000010581,0.97
1000010607,2.15
1000010645,0.44
1000010767,1.12
1000010790,2.11
1000010892,0.64
1000011053,1.15
1000011180,2.11
1000011287,1.66
1000011368,0.94
1000011412,2.04
1000011545,1.83
1000011584,4.37
1000011615,1.17
1000011634,1.45
1000011664,2.98
1000011674,5.06
1000011681,0.89
1000011708,1.29
1000011734,2.29
1000011747,2.56
1000011771,5.02
1000011777,1.99
1000011935,2.27
1000011949,2.02
1000011990,3.08
1000012027,1.27
1000012033,2.13
1000012076,0.99
1000012085,0.89
1000012111,1.94
1000012159,1.05
1000012160,1.35
1000012189,1.63
1000012214,1.03
1000012353,1.23
1000012660,1.41
1000012860,1.17
1000012904,1.38
1000013030,1.84
1000013064,1.59
1000013065,1.54
1000013107,1.47
1000013358,2.58
1000013515,1.17
1000013609,1.36
1000013615,1.45
1000013618,1.51
1000013703,2.26
1000013812,3.8
1000013857,1.95
1000013861,3.83
1000013923,0.6
1000013949,1.98
1000013991,2.69
1000014051,1.1
1000014100,3.89
1000014214,1.66
1000014547,3.1
1000014660,1.82
1000014789,1.49
1000015034,1.28
1000015063,2.09
1000015090,0.73
1000015100,0.5
1000015107,0.54
1000015116,2.7
1000015143,1.58
1000015185,4.76
1000015196,1.25
1000015224,0.98
1000015232,3.01
1000015241,1.22
1000015338,2.74
1000015375,3.87
1000015443,1.3
1000015682,4.27
1000015847,2.36
1000015920,2.55
1000015932,1.8
1000015966,2.29
1000016057,1.64
1000016181,1.42
1000016211,1.56
1000016289,1.54
1000016365,1.75
1000016469,1.86
1000016502,1.32
1000016589,1.17
1000016590,2.11
1000016606,1.22
1000016632,0.96
1000016655,0.8
1000016709,3.41
1000016715,1.56
1000016743,2.59
1000016850,1.7
1000016999,2.07
1000017066,3.11
1000017078,2.2
1000017117,1.24
1000017138,1.93
1000017174,2.12
1000017196,1.48
1000017321,2.23
1000017340,0.98
1000017351,0.35
1000017391,1.56
1000017433,2.81
1000017461,1.97
1000017474,1.4
1000017493,0.93
1000017565,1.33
1000017659,0.93
1000017812,2.89
1000018109,1.63
1000018239,1.96
1000018262,1.13
1000018355,1.48
1000018584,7.1
1000018878,0.94
1000019001,2.3
1000019232,1.98
1000019495,1.85
1000019500,0.72
1000019584,1.52
1000019884,1.97
1000019945,1.72
1000019971,1.52
1000019996,1.54
1000020000,1.74
1000020024,1.39
1000020052,2.12
1000020062,1.37
1000020073,1.01
1000020088,1.04
1000020141,2.54
1000020182,1.41
1000020189,2.62
1000020266,1.51
1000020325,2.61
1000020371,2.96
1000020390,2.63
1000020410,2.73
1000020936,2.11
1000021104,1.81
1000021105,1.28
1000021197,1.4
1000021317,0.12
1000021422,1.81
1000021430,2.09
1000021522,1.18
1000021542,1.76
1000021579,2.47
1000021621,1.79
1000021654,2.9
1000021657,1.35
1000021676,7.09
1000021802,2.16
1000021880,1.84
1000021920,0.54
1000021956,2.81
1000022183,2.37
1000022223,1.43
1000022351,1.54
1000022405,0.81
1000022462,2.43
1000022491,2.04
1000022525,0.58
1000022599,2.25
1000022611,0.97
1000022660,1.5
1000022681,1.25
1000022720,1.63
1000022728,2.5
1000022880,0.92
1000022896,1.15
1000022934,0.57
1000022955,0.53
1000022968,1.89
1000023029,1.76
1000023058,1.69
1000023236,1.35
1000023301,1.19
1000023357,0.97
1000023430,2.65
1000023465,1.46
1000023585,1.48
1000023600,2.03
1000023674,1.53
1000024260,1.13
1000024369,1.53
1000024392,1.48
1000024450,2.28
1000024460,1.05
1000024554,0.76
1000024680,2.24
1000024701,2.78
1000024713,2.31
1000024729,1.27
1000024833,1.66
1000024842,1.44
1000024854,0.99
1000024906,1.42
1000024928,1.14
1000024973,2.48
1000024984,2.26
1000025043,4.53
1000025101,2.51
1000025133,1.07
1000025280,1.65
1000025322,0.99
1000025323,1.53
1000025544,2.59
1000025569,1.49
1000025571,0.79
1000025587,1.97
1000025667,0.73
1000025704,1.9
1000025705,1.12
1000026501,2.06
1000026805,4.69
1000026862,1.24
1000026967,1.89
1000027002,1.28
1000027016,2.03
1000027071,1.46
1000027114,2.75
1000027156,0.74
1000027246,1.44
1000027295,1.82
1000027309,1.8
1000027319,1.48
1000027331,1.31
1000027391,1.46
1000027510,0.62
1000027527,4.32
1000027592,3.34
1000027611,2.56
1000027666,3.32
1000027689,1.94
1000027702,1.63
1000028062,1.41
1000028099,1.1
1000028157,1.27
1000028294,0.79
1000028433,2.11
1000028488,1.51
1000028522,0.57
1000028523,1.32
1000028525,2.09
1000028535,0.64
1000028544,1.29
1000028582,1.7
1000028587,2.15
1000028609,2.11
1000028676,2.01
1000028698,1.63
1000028708,0.75
1000028731,2.54
1000028755,1.09
1000028789,1.32
1000028796,1.26
1000028798,2.05
1000028835,1.65
1000028839,2.41
1000028895,2.53
1000028927,1.66
1000028975,1.4
1000028979,1.25
1000028983,1.39
1000029057,1.71
1000029059,2.4
1000029077,0.33
1000029106,1.31
