_id,overall_stats.avg_battle_values.avg_spot
1000000026,1
1000000048,0.56
1000000092,1.04
1000000156,0.95
1000000270,0.9
1000000347,1.78
1000000415,0.18
1000000557,0.55
1000000559,0.97
1000000571,1.17
1000000612,1.68
1000000822,1.19
1000000845,1.87
1000000849,0.73
1000001606,0.76
1000001656,1.34
1000001782,2.34
1000001859,1.09
1000001979,2.51
1000001985,0.57
1000002071,1.26
1000002116,1.31
1000002119,1.29
1000002174,0.77
1000002221,1.05
1000002239,1.1
1000002267,0.46
1000002281,1.53
1000002514,1.62
1000002566,0.3
1000002601,1.14
1000002705,0.5
1000002769,1.98
1000002784,1.59
1000002825,1.02
1000002884,1.11
1000002886,0.55
1000002892,1.75
1000002896,0.88
1000002909,1.36
1000002913,0.97
1000002917,0.58
1000002922,1.47
1000002931,1.24
1000002946,2.18
1000002963,1.43
1000003000,1.2
1000003101,0.69
1000003243,0.54
1000003281,3.22
1000003328,1.36
1000003345,1.81
1000003364,2.29
1000003401,1.02
1000003408,0.9
1000003436,0.8
1000003463,1.07
1000003469,0.92
1000003489,1.09
1000003495,0.47
1000003683,0.33
1000003866,0.42
1000004047,1.37
1000004051,1.37
1000004155,1.53
1000004236,1.63
1000004265,0.16
1000004278,1.61
1000004339,0.72
1000004359,0.62
1000004541,0.77
1000004558,0.9
1000004600,2.03
1000004624,1.33
1000004707,0.55
1000004711,0.61
1000004771,1.03
1000004778,0.42
1000004843,1.16
1000005290,0.36
1000005557,0.39
1000005576,2.05
1000005581,3.84
1000005868,0.78
1000005879,0.64
1000006076,0.93
1000006338,0.61
1000006451,0
1000006468,0.73
1000006520,0.38
1000006671,0.43
1000006836,1.4
1000006858,0.9
1000006887,1.43
1000006902,1.48
1000006955,1.26
1000007082,0.75
1000007089,1.24
1000007531,2.37
1000007546,1.95
1000007684,1.06
1000007843,1.19
1000007956,0.86
1000007991,0.75
1000008197,1.45
1000008287,0.66
1000008299,4.29
1000008356,0.94
1000008639,0.33
1000008688,1.5
1000008794,1.94
1000008809,0.66
1000008895,0.91
1000008922,0.94
1000008998,1.24
1000009029,1.05
1000009039,0.98
1000009094,0.52
1000009097,1.64
1000009131,0.97
1000009194,0.71
1000009250,0.75
1000009256,0.88
1000009259,1.14
1000009290,1.54
1000009293,4.22
1000009331,1.07
1000009366,1.83
1000009460,0.72
1000009497,0.65
1000009528,0.94
1000009735,0.79
1000009785,1.12
1000009801,1.17
1000010303,1.02
1000010322,2
1000010375,1.24
1000010461,1.57
1000010544,0.49
1000010581,1.3
1000010607,1.2
1000010645,1.67
1000010767,1.06
1000010790,2.02
1000010892,0.96
1000011053,0.84
1000011180,0.86
1000011287,2.12
1000011368,1.71
1000011412,0.95
1000011545,1.6
1000011584,2.34
1000011615,1.04
1000011634,0.77
1000011664,1.66
1000011674,1.19
1000011681,1.01
1000011708,0.71
1000011734,1.48
1000011747,1.54
1000011771,1.61
1000011777,0.96
1000011935,1.17
1000011949,1.17
1000011990,1.78
1000012027,0.41
1000012033,0.68
1000012076,1.2
1000012085,1.44
1000012111,0.79
1000012159,1.84
1000012160,1.43
1000012189,1.48
1000012214,1
1000012353,0.82
1000012660,1.15
1000012860,0.62
1000012904,0.85
1000013030,0.75
1000013064,0.15
1000013065,0.88
1000013107,0.84
1000013358,0.77
1000013515,1.38
1000013609,0.97
1000013615,1.19
1000013618,0.82
1000013703,1.11
1000013812,0.94
1000013857,0.81
1000013861,1.49
1000013923,0.94
1000013949,1.04
1000013991,0.67
1000014051,0.63
1000014100,1.07
1000014214,1.56
1000014547,0.77
1000014660,1.65
1000014789,0.41
1000015034,0.58
1000015063,1.54
1000015090,0.36
1000015100,0.81
1000015107,0.72
1000015116,1.06
1000015143,0.97
1000015185,1.72
1000015196,0.75
1000015224,1.12
1000015232,1.58
1000015241,0.42
1000015338,1.28
1000015375,1.66
1000015443,0.51
1000015682,3.26
1000015847,1.72
1000015920,1.27
1000015932,1.02
1000015966,1.2
1000016057,0.32
1000016181,1.13
1000016211,0.92
1000016289,0.75
1000016365,1.78
1000016469,0.62
1000016502,0.74
1000016589,1.21
1000016590,1.32
1000016606,0.88
1000016632,0.83
1000016655,2.01
1000016709,0.93
1000016715,0.69
1000016743,1.02
1000016850,0.93
1000016999,1.15
1000017066,1.51
1000017078,1.11
1000017117,0.48
1000017138,1.75
1000017174,0.97
1000017196,1.31
1000017321,0.91
1000017340,1.37
1000017351,1.49
1000017391,1.3
1000017433,1.27
1000017461,1.44
1000017474,0.78
1000017493,2.28
1000017565,0.78
1000017659,0.96
1000017812,0.71
1000018109,1.07
1000018239,0.72
1000018262,0.53
1000018355,0.67
1000018584,3.23
1000018878,1.17
1000019001,0.67
1000019232,1.7
1000019495,0.65
1000019500,0.55
1000019584,0.88
1000019884,0.68
1000019945,1.29
1000019971,0.81
1000019996,0.87
1000020000,0.37
1000020024,0.82
1000020052,1.7
1000020062,0.48
1000020073,0.45
1000020088,0.51
1000020141,1.54
1000020182,1.11
1000020189,0.83
1000020266,0.51
1000020325,0.16
1000020371,1.16
1000020390,1.29
1000020410,1.12
1000020936,1.85
1000021104,1.68
1000021105,1.17
1000021197,0.87
1000021317,1.12
1000021422,0.96
1000021430,1.73
1000021522,0.47
1000021542,0.3
1000021579,1.23
1000021621,2.79
1000021654,2.31
1000021657,0.44
1000021676,3.72
1000021802,0
1000021880,1.09
1000021920,0.84
1000021956,0.34
1000022183,0.66
1000022223,0.99
1000022351,1.06
1000022405,0.98
1000022462,1.02
1000022491,1.54
1000022525,0.7
1000022599,1.6
1000022611,0.34
1000022660,0.89
1000022681,1.42
1000022720,0.93
1000022728,1.01
1000022880,0.73
1000022896,0.7
1000022934,0.24
1000022955,1.22
1000022968,0.76
1000023029,1.18
1000023058,0.4
1000023236,1.34
1000023301,0.42
1000023357,1.99
1000023430,0.4
1000023465,0.7
1000023585,0.54
1000023600,0.9
1000023674,0.67
1000024260,0.69
1000024369,1
1000024392,1.07
1000024450,0.42
1000024460,0.22
1000024554,0.43
1000024680,0.67
1000024701,1.23
1000024713,1.68
1000024729,2.26
1000024833,1.57
1000024842,1.17
1000024854,1.36
1000024906,0.52
1000024928,0.39
1000024973,1.05
1000024984,0.44
1000025043,0.32
1000025101,1.4
1000025133,1.49
1000025280,1.42
1000025322,0.99
1000025323,0.79
1000025544,1.22
1000025569,0.66
1000025571,1.32
1000025587,1.42
1000025667,1.26
1000025704,1.09
1000025705,1.14
1000026501,0.66
1000026805,1.55
1000026862,1.65
1000026967,0.63
1000027002,2.31
1000027016,1.28
1000027071,0.58
1000027114,0.12
1000027156,0.6
1000027246,0.67
1000027295,3.08
1000027309,0.98
1000027319,0.88
1000027331,1.9
1000027391,1.33
1000027510,1.73
1000027527,1.66
1000027592,1.47
1000027611,1.36
1000027666,1.39
1000027689,1.62
1000027702,1.04
1000028062,0.99
1000028099,0.73
1000028157,1.46
1000028294,8.5
1000028433,0.46
1000028488,0.63
1000028522,0.86
1000028523,1.34
1000028525,1.32
1000028535,0.38
1000028544,0.98
1000028582,0.65
1000028587,0.35
1000028609,0.31
1000028676,1.66
1000028698,1.03
1000028708,0.8
1000028731,0.98
1000028755,0.99
1000028789,1.11
1000028796,0.87
1000028798,1.54
1000028835,1.23
1000028839,0.57
1000028895,1.74
1000028927,0.77
1000028975,1.21
1000028979,1.28
1000028983,0.79
1000029057,1.26
1000029059,0.89
1000029077,0.93
1000029106,0.45
1000029108,0
1000029185,0.83
1000029222,1.35
1000029245,1.01
1000029579,0.87
1000029778,1.88
1000029782,2.4
1000029807,0.55
1000029864,0
1000029993,0.75
1000030009,1.4
1000030047,1.04
1000030051,0.39
1000030086,0.38
1000030088,1.37
1000030147,0.69
1000030161,0.75
1000030185,1.45
1000030189,1.14
1000030194,0.54
1000030205,1.05
1000030263,3.29
1000030272,1.62
1000030287,0.55
1000030296,1.26
1000030327,0.36
1000030400,0.74
1000030417,2.02
1000030514,0.9
1000030633,1.09
1000030727,0.92
1000030951,0.57
1000031016,3.47
1000031156,0
1000031222,0.59
1000031240,0
1000031246,1.05
1000031254,1
1000031280,0.92
1000031282,2.01
1000031296,0.57
1000031348,0.28
1000031361,0.52
1000031401,2.74
1000031411,2.96
1000031430,0.65
1000031476,0.34
1000031486,1.03
1000031583,0
1000031609,1.03
1000031775,1.96
1000031872,0.95
1000032000,0.83
1000032048,0.75
1000032055,1.07
1000032194,1.35
1000032209,1.34
1000032236,1.03
1000032279,1.88
1000032291,1.33
1000032301,0.39
1000032311,2.86
1000032321,1.06
1000032362,0.96
1000032382,1.03
1000032392,0.68
1000032455,0.69
1000032588,1.76
1000032624,1.07
1000032831,1.07
1000033083,0.89
1000033096,0.55
1000033133,1.25
1000033141,0.7
1000033146,1.47
1000033157,0.88
1000033162,1.21
1000033181,1.1
1000033196,1.95
1000033254,1.78
1000033538,1.89
1000033608,1.62
1000033612,1.46
1000033899,1.32
1000034086,1.03
1000034148,1.23
1000034233,0.96
1000034308,2.28
1000034312,1.33
1000034376,0.64
1000034384,0.45
1000034389,0.72
1000034410,0.99
1000034482,1.08
1000034672,0.38
1000034685,1.13
1000034855,0.27
1000035070,0.4
1000035155,1.96
1000035188,0.82
1000035194,0.88
1000035286,1.03
1000035319,0.8
1000035488,1.08
1000035489,1.97
1000035528,1.01
1000035529,0.69
1000035603,0.55
1000035637,0.65
1000035666,1.3
1000035667,0.64
1000035809,1.28
1000035874,1
1000035889,1.53
1000035957,1.26
1000035961,0.38
1000035963,1.14
1000035995,2.2
1000036024,0.24
1000036041,0.6
1000036118,0.78
1000036130,0.91
1000036131,1.33
1000036326,2.3
1000036492,2.71
1000036757,0.93
1000036768,1.16
1000036815,0.68
1000036926,0.53
1000037006,2.18
1000037054,1.13
1000037073,0.93
1000037135,0.29
1000037141,0.42
1000037187,1.83
1000037207,1.66
1000037213,0.68
1000037231,0.57
1000037232,1.23
1000037242,1.15
1000037275,0.32
1000037560,0.83
1000037720,0.36
1000037747,1.32
1000037778,0.45
1000037895,0.39
1000037976,0.99
1000038077,1.45
1000038498,0.55
1000038591,0.62
1000038689,1.02
1000038714,3.18
1000038776,1.42
1000038781,2.42
1000038783,1.23
1000038841,1.13
1000038951,0.85
1000038961,0.35
1000038969,0.59
1000039139,1.65
1000039147,1.21
1000039279,0.13
1000039310,1.03
1000039379,1.5
1000039675,0.45
1000039897,1.63
1000039908,1.59
1000039956,0.49
1000039961,2.01
1000039990,0.52
1000040004,0.97
1000040020,1.04
1000040053,1.62
1000040065,1.34
1000040111,1.1
1000040113,1.8
1000040319,0.7
1000040339,0.86
1000040437,1.24
1000040519,1.6
1000040572,1.17
1000040604,0.47
1000040630,1.47
1000040638,1.32
1000040640,1.38
1000040728,0.37
1000040780,0.88
1000040807,1.53
1000040850,0.71
1000040901,0.82
1000040947,0.93
1000041051,0.64
1000041056,1.23
1000041180,1.48
1000041190,0.53
1000041214,1.36
1000041278,1.11
1000041283,1.26
1000041302,0.89
1000041319,1.09
1000041337,1.11
1000041357,0.9
1000041526,0.69
1000041576,1.93
1000041766,1.42
1000041849,2.01
1000042087,1.08
1000042130,0.65
1000042229,0.93
1000042508,1.48
1000042543,0.28
1000042556,1.7
1000042642,0.62
1000042658,0.48
1000042675,0.39
1000042721,0.92
1000042751,1.28
1000042763,0.89
1000042798,2.89
1000042808,0.76
1000042815,1.05
1000042823,0.87
1000042888,2.2
1000042987,0.7
1000043307,1.24
1000043648,1.59
1000043706,0.46
1000043760,0.73
1000043843,1.36
1000043900,0.87
1000043938,0.33
1000043943,0.73
1000043956,1.55
1000043986,0.86
1000044173,1.32
1000044385,3.35
1000044433,1.29
1000044532,1
1000044566,1.26
1000044633,0.6
1000044638,1.2
1000044785,1.13
1000044933,0.3
1000044975,2.31
1000044977,1.08
1000044979,1.41
1000044984,1.34
1000045048,1.95
1000045592,1.36
1000045754,0.92
1000045760,1.68
1000045940,1.18
1000045958,1.05
1000045970,0.52
1000045978,1.17
1000045983,1.35
1000045994,1.38
1000046013,0.71
1000046036,1.03
1000046210,3.77
1000046213,0.78
1000046304,0.68
1000046432,1.1
1000046587,0.96
1000046606,0.6
1000046625,1.27
1000046818,0.86
1000046852,1.22
1000047007,1.02
1000047037,0.48
1000047150,0.43
1000047163,0.81
1000047210,0.92
1000047246,0.94
1000047289,0.22
1000047301,1.05
1000047359,0.32
1000047366,0.97
1000047407,1.19
1000048222,1.61
1000048377,3.93
1000049135,0.41
1000049230,1.39
1000049334,1.35
1000049385,0.84
1000049386,1.03
1000049414,0.69
1000049456,1.14
1000049542,1.07
1000049545,2.13
1000049548,1.58
1000050008,1.38
1000050158,1.09
1000050468,0.56
1000050549,0.33
1000050605,0.9
1000050820,1.08
1000050909,0.67
1000050916,0.74
1000050923,1.45
1000050942,2.36
1000050992,0.32
1000051005,1.16
1000051059,0.67
1000051082,0.97
1000051095,0.94
1000051488,1.19
1000051495,0.68
1000051618,0.84
1000051720,0.9
1000051728,1.18
1000051757,1.41
1000051809,0.32
1000052236,1.03
1000052240,0.5
1000052311,0.95
1000052426,0.88
1000052456,0.67
1000052463,0.86
1000052481,1.18
1000052502,1.61
1000052683,0.65
1000052959,0.97
1000053447,1.23
1000053463,3.64
1000053468,0.72
1000053478,1.65
1000053557,0.6
1000053561,0.58
1000053598,1.1
1000053618,0.38
1000053620,0.56
1000053640,2.21
1000053651,0.77
1000053672,1.78
1000053678,0.86
1000053682,1.72
1000053823,0.37
1000054106,0.53
1000054405,2.44
1000054446,1.34
1000054466,1.03
1000054510,2.92
1000054532,0.72
1000054593,1.76
1000054701,0.35
1000054710,0.99
