_id,overall_stats.avg_battle_values.avg_spot_dmg
1000000026,3137
1000000048,7004
1000000092,9692
1000000156,12804
1000000270,10694
1000000347,12828
1000000415,8797
1000000557,9982
1000000559,22394
1000000571,12247
1000000612,14304
1000000822,20143
1000000845,15001
1000000849,11485
1000001606,7610
1000001656,13751
1000001782,24140
1000001859,19924
1000001979,32969
1000001985,12775
1000002071,17477
1000002116,18190
1000002119,20539
1000002174,26525
1000002221,17737
1000002239,15592
1000002267,18258
1000002281,14321
1000002514,21194
1000002566,14748
1000002601,17900
1000002705,11892
1000002769,22884
1000002784,21815
1000002825,16653
1000002884,17442
1000002886,12000
1000002892,13202
1000002896,21555
1000002909,21392
1000002913,14730
1000002917,20347
1000002922,11061
1000002931,28241
1000002946,29979
1000002963,10150
1000003000,12244
1000003101,15282
1000003243,9887
1000003281,24004
1000003328,24665
1000003345,19173
1000003364,32063
1000003401,17347
1000003408,16528
1000003436,15711
1000003463,12210
1000003469,19485
1000003489,17940
1000003495,7274
1000003683,12220
1000003866,12042
1000004047,13616
1000004051,14198
1000004155,33001
1000004236,28881
1000004265,16363
1000004278,20597
1000004339,19085
1000004359,14040
1000004541,11422
1000004558,25621
1000004600,27585
1000004624,18378
1000004707,15610
1000004711,7542
1000004771,17254
1000004778,17358
1000004843,20413
1000005290,7841
1000005557,6729
1000005576,13595
1000005581,39467
1000005868,16935
1000005879,13132
1000006076,22025
1000006338,8415
1000006451,0
1000006468,12737
1000006520,12216
1000006671,14553
1000006836,22877
1000006858,15826
1000006887,23897
1000006902,30122
1000006955,14913
1000007082,12218
1000007089,18500
1000007531,23854
1000007546,31095
1000007684,15777
1000007843,16890
1000007956,18405
1000007991,21102
1000008197,18983
1000008287,22173
1000008299,29496
1000008356,16583
1000008639,7181
1000008688,18027
1000008794,21974
1000008809,17108
1000008895,13509
1000008922,16619
1000008998,26717
1000009029,21163
1000009039,9290
1000009094,12310
1000009097,18266
1000009131,14724
1000009194,23652
1000009250,12160
1000009256,15860
1000009259,18077
1000009290,26784
1000009293,22134
1000009331,21552
1000009366,30078
1000009460,18800
1000009497,17287
1000009528,11680
1000009735,15178
1000009785,22321
1000009801,17835
1000010303,22821
1000010322,7776
1000010375,16083
