_id,overall_stats.avg_battle_values.avg_tier
1000000026,4.4
1000000048,4.2
1000000092,4.1
1000000156,5.6
1000000270,4.8
1000000347,5.4
1000000415,3.8
1000000557,5.3
1000000559,7.8
1000000571,5.1
1000000612,5.8
1000000822,5.6
1000000845,3.9
1000000849,5
1000001606,4
1000001656,5.5
1000001782,6.9
1000001859,7.4
1000001979,8.4
1000001985,6.3
1000002071,7.7
1000002116,6.9
1000002119,7.7
1000002174,7.4
1000002221,6.1
1000002239,5.7
1000002267,6.3
1000002281,5.3
1000002514,7
1000002566,6.1
1000002601,6.8
1000002705,5.8
1000002769,6.7
1000002784,6
1000002825,6.7
1000002884,6
1000002886,4.8
1000002892,5.4
1000002896,6.7
1000002909,6.3
1000002913,6
1000002917,6.5
1000002922,4.3
1000002931,7.4
1000002946,7.7
1000002963,4.6
1000003000,5.7
1000003101,6
1000003243,4.1
1000003281,5.9
1000003328,7.9
1000003345,6.9
1000003364,5.7
1000003401,6.2
1000003408,7.1
1000003436,7.4
1000003463,5.7
1000003469,7.1
1000003489,7.9
1000003495,4.1
1000003683,5.8
1000003866,4.6
1000004047,4.2
1000004051,6.4
1000004155,7.5
1000004236,6.3
1000004265,7.1
1000004278,6.8
1000004339,7.3
1000004359,6.3
1000004541,5.5
1000004558,7.2
1000004600,7.4
1000004624,6.8
1000004707,6.8
1000004711,3.6
1000004771,6.2
1000004778,5.1
1000004843,6.6
1000005290,4.5
1000005557,4.1
1000005576,5.5
1000005581,6.7
1000005868,7
1000005879,6.6
1000006076,7.5
1000006338,4.8
1000006451,3.7
1000006468,5.8
1000006520,5.3
1000006671,6.2
1000006836,7.9
1000006858,5.9
1000006887,7
1000006902,7.5
1000006955,7
1000007082,4.8
1000007089,6.6
1000007531,5.3
1000007546,7.7
1000007684,6.1
1000007843,5.7
1000007956,7
1000007991,6.7
1000008197,6.7
1000008287,6.6
1000008299,3.4
1000008356,5.8
1000008639,3.9
1000008688,5.2
1000008794,8.7
1000008809,7.1
1000008895,6.2
1000008922,5.7
1000008998,7.8
1000009029,6.7
1000009039,5.6
1000009094,5.4
1000009097,5.3
1000009131,5.6
1000009194,7.9
1000009250,5.1
1000009256,5.8
1000009259,6.2
1000009290,6.4
1000009293,5.2
1000009331,7.4
1000009366,7.1
1000009460,6.2
1000009497,6.6
1000009528,4.7
1000009735,5.2
1000009785,8.1
1000009801,4.2
1000010303,7.3
1000010322,4
1000010375,6.8
1000010461,4.9
1000010544,6.9
1000010581,5.4
1000010607,5.3
1000010645,4.1
1000010767,5.2
1000010790,6.1
1000010892,6.5
1000011053,6.5
1000011180,7.8
1000011287,7.7
1000011368,7
1000011412,6.8
1000011545,6.3
1000011584,4.9
1000011615,4.8
1000011634,6.8
1000011664,3.9
1000011674,4.5
1000011681,5.4
1000011708,7.1
1000011734,5.4
1000011747,6.9
1000011771,6
1000011777,6.6
1000011935,7.3
1000011949,6.9
1000011990,6.2
1000012027,5.3
1000012033,6.2
1000012076,5.1
1000012085,4.9
1000012111,7.8
1000012159,6.2
1000012160,5.2
1000012189,4.3
1000012214,4.8
1000012353,6.1
1000012660,6.8
1000012860,5.3
1000012904,6.9
1000013030,5.7
1000013064,6.8
1000013065,6.7
1000013107,6.2
1000013358,6.7
