_id,overall_stats.battles
1000000026,704
1000000048,906
1000000092,366
1000000156,1821
1000000270,1206
1000000347,986
1000000415,649
1000000557,1115
1000000559,5329
1000000571,916
1000000612,2770
1000000822,1658
1000000845,236
1000000849,1434
1000001606,403
1000001656,3433
1000001782,964
1000001859,2843
1000001979,3666
1000001985,2867
1000002071,1585
1000002116,830
1000002119,6821
1000002174,5007
1000002221,1499
1000002239,4847
1000002267,2966
1000002281,875
1000002514,2529
1000002566,2164
1000002601,5118
1000002705,3860
1000002769,3545
1000002784,2135
1000002825,2345
1000002884,2345
1000002886,582
1000002892,1892
1000002896,1708
1000002909,2212
1000002913,273
1000002917,1284
1000002922,168
1000002931,5927
1000002946,4590
1000002963,432
1000003000,925
1000003101,6802
1000003243,168
1000003281,926
1000003328,6616
1000003345,676
1000003364,632
1000003401,5400
1000003408,2608
1000003436,4584
1000003463,1553
1000003469,1084
1000003489,4315
1000003495,241
1000003683,924
1000003866,746
1000004047,252
1000004051,8448
1000004155,7834
1000004236,1111
1000004265,797
1000004278,4836
1000004339,2711
1000004359,423
1000004541,2347
1000004558,2485
1000004600,6916
1000004624,2038
1000004707,3923
1000004711,175
1000004771,6520
1000004778,556
1000004843,2894
1000005290,285
1000005557,322
1000005576,878
1000005581,5246
1000005868,1493
1000005879,2987
1000006076,4580
1000006338,527
1000006451,339
1000006468,915
1000006520,452
1000006671,3179
1000006836,7547
1000006858,5277
1000006887,3712
1000006902,7152
1000006955,5292
1000007082,1466
1000007089,3373
1000007531,786
1000007546,2276
1000007684,2861
1000007843,1199
1000007956,1506
1000007991,1680
1000008197,788
1000008287,1190
1000008299,493
1000008356,2187
1000008639,312
1000008688,117
1000008794,2640
1000008809,1156
1000008895,127
1000008922,1778
1000008998,7590
1000009029,3949
1000009039,5129
1000009094,712
1000009097,1274
1000009131,950
1000009194,7146
1000009250,1056
1000009256,1170
1000009259,1220
1000009290,2509
1000009293,790
1000009331,4540
1000009366,5869
1000009460,2446
1000009497,638
1000009528,531
1000009735,767
1000009785,2688
1000009801,199
1000010303,2773
1000010322,124
1000010375,7098
1000010461,425
1000010544,1552
1000010581,598
1000010607,671
1000010645,185
1000010767,1563
1000010790,8401
