_id,credit ship amount
1000000026,39
1000000048,55
1000000092,30
1000000156,94
1000000270,67
1000000347,27
1000000415,37
1000000557,45
1000000559,123
1000000571,45
1000000612,107
1000000822,90
1000000845,20
1000000849,79
1000001606,36
1000001656,105
1000001782,63
1000001859,71
1000001979,51
1000001985,113
1000002071,42
1000002116,37
1000002119,74
1000002174,134
1000002221,69
1000002239,140
1000002267,61
1000002281,54
1000002514,83
1000002566,59
1000002601,112
1000002705,129
1000002769,75
1000002784,107
1000002825,56
1000002884,76
1000002886,43
1000002892,55
1000002896,107
1000002909,78
1000002913,15
1000002917,42
1000002922,18
1000002931,91
1000002946,59
1000002963,22
1000003000,47
1000003101,79
1000003243,26
1000003281,17
1000003328,134
1000003345,16
1000003364,26
1000003401,123
1000003408,46
1000003436,134
1000003463,72
1000003469,64
1000003489,62
1000003495,26
1000003683,36
1000003866,50
1000004047,20
1000004051,121
1000004155,152
1000004236,52
1000004265,11
1000004278,86
1000004339,70
1000004359,23
1000004541,119
1000004558,95
1000004600,160
1000004624,104
1000004707,125
1000004711,26
1000004771,151
1000004778,42
1000004843,47
1000005290,17
1000005557,25
1000005576,29
1000005581,74
1000005868,13
1000005879,115
1000006076,74
1000006338,28
1000006451,29
1000006468,76
1000006520,30
1000006671,81
1000006836,84
1000006858,124
1000006887,60
1000006902,158
1000006955,87
1000007082,69
1000007089,111
1000007531,50
1000007546,64
1000007684,63
1000007843,44
1000007956,48
1000007991,61
1000008197,35
1000008287,39
1000008299,48
1000008356,55
1000008639,29
1000008688,15
1000008794,55
1000008809,65
1000008895,8
1000008922,69
1000008998,180
1000009029,132
1000009039,114
1000009094,58
1000009097,63
1000009131,45
1000009194,120
1000009250,54
1000009256,48
1000009259,35
1000009290,76
1000009293,44
1000009331,153
1000009366,81
1000009460,89
1000009497,34
1000009528,33
1000009735,42
1000009785,75
1000009801,18
1000010303,113
1000010322,16
1000010375,122
1000010461,28
1000010544,21
1000010581,46
1000010607,43
1000010645,17
1000010767,63
1000010790,138
1000010892,81
1000011053,108
1000011180,122
1000011287,28
1000011368,93
1000011412,107
1000011545,89
1000011584,38
1000011615,48
1000011634,60
1000011664,17
1000011674,29
1000011681,50
1000011708,102
1000011734,41
1000011747,67
1000011771,81
1000011777,53
1000011935,135
1000011949,142
1000011990,55
1000012027,40
1000012033,86
1000012076,40
1000012085,42
1000012111,71
1000012159,65
1000012160,29
1000012189,70
1000012214,53
1000012353,45
1000012660,59
1000012860,113
1000012904,175
1000013030,50
1000013064,31
1000013065,154
1000013107,55
1000013358,65
1000013515,139
1000013609,86
1000013615,77
1000013618,35
1000013703,79
1000013812,47
1000013857,54
1000013861,61
1000013923,38
1000013949,41
1000013991,58
1000014051,67
1000014100,62
1000014214,96
1000014547,113
1000014660,46
1000014789,83
1000015034,88
1000015063,117
1000015090,32
1000015100,25
1000015107,28
1000015116,96
1000015143,47
1000015185,105
1000015196,21
1000015224,89
1000015232,158
1000015241,53
1000015338,98
1000015375,65
1000015443,46
1000015682,50
1000015847,71
1000015920,82
1000015932,168
1000015966,32
1000016057,15
1000016181,162
1000016211,89
1000016289,113
1000016365,59
1000016469,41
1000016502,38
1000016589,106
1000016590,54
1000016606,93
1000016632,64
1000016655,35
1000016709,37
1000016715,145
1000016743,113
1000016850,180
1000016999,173
1000017066,59
1000017078,86
1000017117,108
1000017138,51
1000017174,58
1000017196,120
1000017321,35
1000017340,136
1000017351,48
1000017391,196
1000017433,50
1000017461,170
1000017474,68
1000017493,67
1000017565,60
1000017659,47
1000017812,38
1000018109,151
1000018239,97
1000018262,38
1000018355,41
1000018584,106
1000018878,44
1000019001,67
1000019232,75
1000019495,54
1000019500,31
1000019584,42
1000019884,105
1000019945,47
1000019971,80
1000019996,34
1000020000,40
1000020024,80
1000020052,124
1000020062,105
1000020073,54
1000020088,27
1000020141,41
1000020182,96
1000020189,60
1000020266,49
1000020325,13
1000020371,99
1000020390,58
1000020410,35
1000020936,105
1000021104,13
1000021105,156
1000021197,157
1000021317,27
1000021422,150
1000021430,188
1000021522,25
1000021542,26
1000021579,163
1000021621,66
1000021654,101
1000021657,13
1000021676,32
1000021802,27
1000021880,180
1000021920,119
1000021956,64
1000022183,50
1000022223,146
1000022351,149
1000022405,148
1000022462,43
1000022491,38
1000022525,13
1000022599,35
1000022611,25
1000022660,53
1000022681,50
1000022720,122
1000022728,134
1000022880,50
1000022896,20
1000022934,17
1000022955,20
1000022968,89
1000023029,22
1000023058,42
1000023236,73
1000023301,33
1000023357,37
1000023430,24
1000023465,9
1000023585,63
1000023600,70
1000023674,75
1000024260,82
1000024369,35
1000024392,104
1000024450,55
1000024460,117
1000024554,65
1000024680,44
1000024701,36
1000024713,76
1000024729,70
1000024833,131
1000024842,109
1000024854,56
1000024906,58
1000024928,65
1000024973,106
1000024984,47
1000025043,64
1000025101,107
1000025133,56
1000025280,141
1000025322,113
1000025323,72
1000025544,30
1000025569,29
1000025571,72
1000025587,96
1000025667,24
1000025704,154
1000025705,112
1000026501,75
1000026805,64
1000026862,107
1000026967,23
1000027002,44
1000027016,35
1000027071,66
1000027114,56
1000027156,37
1000027246,36
1000027295,24
1000027309,131
1000027319,100
1000027331,111
1000027391,38
1000027510,29
1000027527,124
1000027592,62
1000027611,32
1000027666,136
1000027689,64
1000027702,44
1000028062,41
1000028099,65
1000028157,70
1000028294,34
1000028433,39
1000028488,141
1000028522,31
1000028523,156
1000028525,181
1000028535,12
1000028544,142
1000028582,114
1000028587,60
1000028609,77
1000028676,147
1000028698,108
1000028708,91
1000028731,70
1000028755,84
1000028789,158
1000028796,169
1000028798,128
1000028835,106
1000028839,31
1000028895,64
1000028927,30
1000028975,75
1000028979,115
1000028983,130
1000029057,52
1000029059,118
1000029077,7
1000029106,66
1000029108,13
1000029185,61
1000029222,203
1000029245,17
1000029579,109
1000029778,86
1000029782,93
1000029807,60
1000029864,6
1000029993,84
1000030009,42
1000030047,137
1000030051,24
1000030086,26
1000030088,97
1000030147,63
1000030161,35
1000030185,125
1000030189,94
1000030194,30
1000030205,107
1000030263,57
1000030272,57
1000030287,44
1000030296,27
1000030327,60
1000030400,74
1000030417,81
1000030514,86
1000030633,150
1000030727,93
1000030951,14
1000031016,22
1000031156,10
1000031222,83
1000031240,12
1000031246,130
1000031254,79
1000031280,125
1000031282,161
1000031296,83
1000031348,81
1000031361,24
1000031401,101
1000031411,58
1000031430,90
1000031476,23
1000031486,109
1000031583,23
1000031609,55
1000031775,19
1000031872,112
1000032000,90
1000032048,23
1000032055,55
1000032194,82
1000032209,91
1000032236,15
1000032279,73
1000032291,134
1000032301,82
1000032311,26
1000032321,129
1000032362,76
1000032382,80
1000032392,42
1000032455,153
1000032588,67
1000032624,75
1000032831,105
1000033083,43
1000033096,102
1000033133,96
1000033141,32
1000033146,125
1000033157,113
1000033162,12
1000033181,16
1000033196,56
1000033254,184
1000033538,96
1000033608,95
1000033612,14
1000033899,94
1000034086,82
1000034148,85
1000034233,108
1000034308,67
1000034312,94
1000034376,114
1000034384,51
1000034389,163
1000034410,37
1000034482,68
1000034672,103
1000034685,146
1000034855,9
1000035070,56
1000035155,112
1000035188,27
1000035194,111
1000035286,71
1000035319,32
1000035488,168
1000035489,42
1000035528,150
1000035529,30
1000035603,42
1000035637,28
1000035666,16
1000035667,90
1000035809,135
1000035874,109
1000035889,33
1000035957,155
1000035961,28
1000035963,88
1000035995,80
1000036024,67
1000036041,53
1000036118,49
1000036130,43
1000036131,122
1000036326,112
1000036492,38
1000036757,26
1000036768,37
1000036815,42
1000036926,38
1000037006,11
1000037054,63
1000037073,93
1000037135,61
1000037141,104
1000037187,40
1000037207,165
1000037213,68
1000037231,38
1000037232,104
1000037242,63
1000037275,62
1000037560,39
1000037720,103
1000037747,186
1000037778,41
1000037895,28
1000037976,137
1000038077,31
1000038498,88
1000038591,58
1000038689,19
1000038714,14
1000038776,24
1000038781,103
1000038783,59
1000038841,123
1000038951,61
1000038961,25
1000038969,22
1000039139,129
1000039147,105
1000039279,20
1000039310,121
1000039379,38
1000039675,19
1000039897,39
1000039908,124
1000039956,22
1000039961,79
1000039990,51
1000040004,45
1000040020,192
1000040053,105
1000040065,13
1000040111,56
1000040113,37
1000040319,18
1000040339,53
1000040437,91
1000040519,30
1000040572,50
1000040604,99
1000040630,91
1000040638,92
1000040640,53
1000040728,55
1000040780,134
1000040807,47
1000040850,36
1000040901,21
1000040947,70
1000041051,76
1000041056,59
1000041180,50
1000041190,16
1000041214,88
1000041278,30
1000041283,156
1000041302,33
1000041319,116
1000041337,92
1000041357,23
1000041526,43
1000041576,55
1000041766,41
1000041849,162
1000042087,29
1000042130,46
1000042229,79
1000042508,62
1000042543,22
1000042556,67
1000042642,47
1000042658,50
1000042675,112
1000042721,69
1000042751,70
1000042763,92
1000042798,40
1000042808,96
1000042815,138
1000042823,106
1000042888,78
1000042987,56
1000043307,53
1000043648,131
1000043706,42
1000043760,20
1000043843,92
1000043900,89
1000043938,18
1000043943,111
1000043956,81
1000043986,45
1000044173,177
1000044385,34
1000044433,35
1000044532,100
1000044566,76
1000044633,59
1000044638,124
1000044785,125
1000044933,17
1000044975,44
1000044977,40
1000044979,143
1000044984,88
1000045048,26
1000045592,80
1000045754,53
1000045760,105
1000045940,91
1000045958,119
1000045970,111
1000045978,22
1000045983,118
1000045994,75
1000046013,69
1000046036,31
1000046210,31
1000046213,133
1000046304,41
1000046432,37
1000046587,55
1000046606,31
1000046625,77
1000046818,86
1000046852,38
1000047007,102
1000047037,97
1000047150,77
1000047163,61
1000047210,48
1000047246,89
1000047289,11
1000047301,67
1000047359,23
1000047366,95
1000047407,64
1000048222,146
1000048377,43
1000049135,20
1000049230,97
1000049334,69
1000049385,105
1000049386,70
1000049414,154
1000049456,162
1000049542,44
1000049545,71
1000049548,123
1000050008,23
1000050158,120
1000050468,38
1000050549,36
1000050605,67
1000050820,39
1000050909,38
1000050916,21
1000050923,98
1000050942,18
1000050992,30
1000051005,106
1000051059,20
1000051082,86
1000051095,43
1000051488,49
1000051495,14
1000051618,101
1000051720,85
1000051728,59
1000051757,74
1000051809,71
1000052236,70
1000052240,41
1000052311,154
1000052426,41
1000052456,41
1000052463,58
1000052481,133
1000052502,101
1000052683,101
1000052959,26
1000053447,177
1000053463,20
1000053468,127
1000053478,45
1000053557,97
1000053561,56
1000053598,135
1000053618,61
1000053620,68
1000053640,50
1000053651,21
1000053672,134
1000053678,43
1000053682,91
1000053823,81
1000054106,75
1000054405,25
1000054446,55
1000054466,171
1000054510,71
1000054532,149
1000054593,15
1000054701,33
1000054710,53
1000054713,44
1000054723,67
1000054728,97
1000054737,143
1000054751,28
1000054755,105
1000054812,111
1000054842,15
1000054848,144
1000055112,45
1000055175,96
1000055333,87
1000055403,88
1000055577,74
1000055594,32
1000055654,75
1000055656,47
1000055699,86
1000055842,135
1000055896,71
1000055898,43
1000055928,74
1000055933,14
1000055944,136
1000055947,60
1000056044,110
1000056101,66
1000056200,33
1000056437,47
1000056493,20
1000056577,23
1000056693,45
1000056710,45
1000056778,89
1000056862,72
1000057139,48
1000057183,108
1000057185,85
1000057199,86
1000057435,23
1000057502,36
1000057594,92
1000057938,78
1000058036,87
1000058120,30
1000058163,139
1000058175,109
1000058341,74
1000058420,25
1000058477,40
1000058916,25
1000059232,61
1000059480,68
1000059669,68
1000059693,26
1000059710,131
1000059783,151
1000059798,60
1000059883,124
1000059892,81
1000059904,31
1000059958,139
1000059978,45
1000059987,124
1000060262,58
1000060314,52
1000060382,150
1000060426,24
1000060441,76
1000060449,132
1000060464,71
1000060539,68
1000060572,24
1000060592,175
1000060606,83
1000060676,32
1000060915,17
1000061119,53
1000061142,44
1000061159,42
1000061168,64
1000061347,10
1000061355,37
1000061432,37
1000061441,24
1000061474,24
1000061485,48
1000061497,26
1000061499,79
1000061505,69
1000061538,20
1000061941,49
1000061997,61
1000062074,73
1000062198,10
1000062200,55
1000062334,139
1000062410,14
1000062513,156
1000062548,67
1000062558,36
1000062630,36
1000063078,185
1000063154,82
1000063251,47
1000063389,66
1000063451,46
1000063467,36
1000063488,124
1000063637,21
1000063653,112
1000063882,86
1000064032,50
1000064061,110
1000064132,120
1000064383,143
1000064443,125
1000064446,47
1000064482,159
1000064522,45
1000064540,70
1000064555,116
1000064563,106
1000064591,76
1000064638,107
1000064655,102
1000064726,107
1000065234,67
1000065551,47
1000065640,154
1000065733,79
1000065782,87
1000065830,47
1000065834,31
1000065940,54
1000066130,76
1000066285,23
1000066337,121
1000066422,41
1000066699,71
1000066702,33
1000066777,69
1000066800,102
1000066828,49
1000066829,87
1000066850,25
1000066863,61
1000067188,19
1000067287,93
1000067377,73
1000067478,35
1000067508,34
1000067568,34
1000067601,76
1000067611,37
1000067620,110
1000067782,100
1000067830,30
1000067860,90
1000067969,15
1000068014,25
1000068183,163
1000068225,70
1000068247,108
1000068290,91
1000068464,84
1000068633,37
1000068699,69
1000068702,113
1000068761,86
1000068785,34
1000068788,73
1000068792,17
1000068929,145
1000069053,44
1000069067,146
1000069312,96
1000069401,33
1000069450,65
1000069517,85
1000069553,31
1000069856,104
1000069965,83
1000069971,86
1000070001,143
1000070017,53
1000070022,48
1000070046,37
1000070083,31
1000070236,153
