_id,premium ship amount
1000000026,1
1000000048,3
1000000092,3
1000000156,31
1000000270,18
1000000347,8
1000000415,16
1000000557,6
1000000559,90
1000000571,13
1000000612,8
1000000822,16
1000000845,0
1000000849,3
1000001606,3
1000001656,19
1000001782,5
1000001859,31
1000001979,6
1000001985,17
1000002071,42
1000002116,15
1000002119,26
1000002174,38
1000002221,6
1000002239,51
1000002267,68
1000002281,9
1000002514,36
1000002566,10
1000002601,42
1000002705,61
1000002769,17
1000002784,19
1000002825,17
1000002884,71
1000002886,5
1000002892,3
1000002896,25
1000002909,4
1000002913,6
1000002917,20
1000002922,2
1000002931,11
1000002946,10
1000002963,4
1000003000,11
1000003101,4
1000003243,6
1000003281,12
1000003328,68
1000003345,6
1000003364,20
1000003401,31
1000003408,7
1000003436,37
1000003463,6
1000003469,24
1000003489,4
1000003495,1
1000003683,6
1000003866,9
1000004047,4
1000004051,25
1000004155,48
1000004236,40
1000004265,8
1000004278,47
1000004339,47
1000004359,36
1000004541,39
1000004558,29
1000004600,26
1000004624,34
1000004707,42
1000004711,2
1000004771,41
1000004778,18
1000004843,35
1000005290,3
1000005557,2
1000005576,2
1000005581,18
1000005868,20
1000005879,21
1000006076,57
1000006338,2
1000006451,1
1000006468,58
1000006520,16
1000006671,15
1000006836,38
1000006858,118
1000006887,18
1000006902,36
1000006955,11
1000007082,7
1000007089,17
1000007531,6
1000007546,41
1000007684,27
1000007843,18
1000007956,10
1000007991,18
1000008197,12
1000008287,12
1000008299,8
1000008356,4
1000008639,4
1000008688,12
1000008794,33
1000008809,7
1000008895,16
1000008922,10
1000008998,36
1000009029,42
1000009039,19
1000009094,9
1000009097,13
1000009131,17
1000009194,33
1000009250,3
1000009256,3
1000009259,13
1000009290,13
1000009293,5
1000009331,28
1000009366,15
1000009460,39
1000009497,17
1000009528,1
1000009735,6
1000009785,29
1000009801,2
1000010303,106
1000010322,1
1000010375,21
1000010461,4
1000010544,61
1000010581,23
1000010607,7
1000010645,5
1000010767,6
1000010790,21
1000010892,41
1000011053,16
1000011180,11
1000011287,5
1000011368,21
1000011412,44
1000011545,22
1000011584,5
1000011615,5
1000011634,40
1000011664,0
1000011674,1
1000011681,9
1000011708,25
1000011734,1
1000011747,15
1000011771,5
1000011777,4
1000011935,53
1000011949,34
1000011990,6
1000012027,3
1000012033,9
1000012076,5
1000012085,8
1000012111,13
1000012159,29
1000012160,6
1000012189,3
1000012214,3
1000012353,1
1000012660,49
1000012860,64
1000012904,36
1000013030,39
1000013064,15
1000013065,38
1000013107,5
1000013358,5
1000013515,57
1000013609,12
1000013615,72
1000013618,15
1000013703,22
1000013812,5
1000013857,3
1000013861,43
1000013923,4
1000013949,7
1000013991,4
1000014051,10
1000014100,32
1000014214,5
1000014547,9
1000014660,2
1000014789,5
1000015034,14
1000015063,54
1000015090,1
1000015100,7
1000015107,3
1000015116,69
1000015143,20
1000015185,62
1000015196,2
1000015224,32
1000015232,27
1000015241,2
1000015338,16
1000015375,15
1000015443,6
1000015682,9
1000015847,6
1000015920,28
1000015932,41
1000015966,21
1000016057,15
1000016181,109
1000016211,38
1000016289,11
1000016365,15
1000016469,30
1000016502,20
1000016589,49
1000016590,15
1000016606,26
1000016632,2
1000016655,7
1000016709,5
1000016715,43
1000016743,23
1000016850,39
1000016999,53
1000017066,4
1000017078,32
1000017117,16
1000017138,5
1000017174,47
1000017196,63
1000017321,1
1000017340,56
1000017351,2
1000017391,65
1000017433,22
1000017461,56
1000017474,6
1000017493,4
1000017565,39
1000017659,16
1000017812,4
1000018109,27
1000018239,38
1000018262,5
1000018355,10
1000018584,16
1000018878,10
1000019001,0
1000019232,19
1000019495,12
1000019500,3
1000019584,7
1000019884,73
1000019945,11
1000019971,13
1000019996,7
1000020000,10
1000020024,28
1000020052,48
1000020062,27
1000020073,11
1000020088,5
1000020141,8
1000020182,8
1000020189,25
1000020266,16
1000020325,7
1000020371,53
1000020390,23
1000020410,6
1000020936,21
1000021104,7
1000021105,30
1000021197,32
1000021317,2
1000021422,63
1000021430,46
1000021522,4
1000021542,65
1000021579,49
1000021621,4
1000021654,9
1000021657,1
1000021676,7
1000021802,7
1000021880,84
1000021920,53
1000021956,20
1000022183,7
1000022223,54
1000022351,37
1000022405,17
1000022462,14
1000022491,13
1000022525,0
1000022599,22
1000022611,1
1000022660,13
1000022681,29
1000022720,28
1000022728,18
1000022880,1
1000022896,3
1000022934,8
1000022955,0
1000022968,13
1000023029,7
1000023058,1
1000023236,3
1000023301,3
1000023357,7
1000023430,8
1000023465,8
1000023585,13
1000023600,34
1000023674,5
1000024260,8
1000024369,1
1000024392,38
1000024450,6
